source_id,ra,dec,G_0,BP_0,RP_0,parallax,parallax_error,snr,v_offset,dv_offset,ew1,dew1,ew2,dew2,ew3,dew3,feh,dfeh
1613545721922824064,222.63748524514,57.12263345279,12.90053890281091,13.223178076685103,12.400470598330411,0.2479,0.0141,20.19004249572754,0.7644226653553428,0.3619718661732575,0.0589952345670179,0.0034971715088891,0.1055852229471048,0.0011764050211506,0.0607284693605095,0.0023972581645418,-2.6808174055758935,0.052442635749887855
1628920708410765440,245.748705186665,63.15731077956118,9.807998729687895,10.203351891297492,9.2278553678916,1.3879,0.0152,177.1958923339844,0.4837776869663247,0.1918836693781392,0.0763228372949893,0.0027838382389573,0.113677607707166,0.0014859939414643,0.0812054622132011,0.0011652617689505,-2.3466325640236128,0.030337889028916005
1631229304871201024,256.082444,63.422891,12.339250239711818,12.855795239209698,11.658198706088056,0.1719,0.01,30.05646896362305,1.428820286604998,0.1945217230936993,0.0880987799093661,0.0032899128463186,0.22114875948742,0.0020016283863904,0.1690493127921609,0.0011295046873433,-1.794268897874339,0.048637087831667966
1631420104498489344,258.797279,64.744712,12.969242355349056,13.395636310022214,12.36627691008878,0.2255,0.01,20.4926929473877,-1.243000985434684,0.4901898879541301,0.1112029343265527,0.005886629109837,0.1858773323271675,0.0032847970711782,0.1130682697228368,0.0036696103657705,-1.8322984190760294,0.07088892089319375
1632107986461148928,256.526311,64.506903,12.49431348754848,12.889194914766325,11.917955998983505,0.2621,0.0111,32.72678756713867,1.347763625897648,0.2565539086806832,0.1029248706649272,0.0017110731619478,0.1593889627978357,0.0019850407293191,0.1247111629454219,0.0018399991631204,-1.9604788968443865,0.036561725481781784
1635255647733527808,251.89317723069,65.38350042633,13.01521590256527,13.494371415955074,12.365041591303422,0.1298,0.0098,20.78643417358398,-0.1786795367231883,0.3414028220185654,0.0985559336141231,0.002038869399763,0.1610307756603431,0.0010010333530297,0.1351730792980037,0.0037146639697275,-2.1360730286569223,0.05049242644325174
1636585060370212224,252.7601268009312,67.12674200513574,12.690471426985454,13.34745834358448,11.915204718563604,0.0805,0.012,27.44267654418945,-0.0048738735212126,0.1919019263317941,0.120021193146835,0.0037015852629976,0.2264536831200873,0.0020956409390507,0.1886470364864016,8.675991947014877E-4,-1.8565349725120874,0.08079139002955073
1647111544176220672,242.1155669492503,70.27192655503633,12.650183214365144,13.365308983000125,11.834231157871498,0.0578,0.0118,30.68785095214844,1.085094494899396,0.1559502226508502,0.1221637526134827,0.0031591900687883,0.2506975601536164,0.0014766001669047,0.2018616222249565,0.0015023911369557,-1.8763990779982027,0.10983294934113368
1649307303256357376,253.841861,69.546352,12.489739410259098,12.970310415333472,11.83612189487253,0.2309,0.0111,28.44272041320801,1.3317525072180825,0.2584376767479284,0.1093166746276003,0.004495316455716,0.1857008532521092,0.0022953024690621,0.1570638875557456,0.002443909942414,-1.740056942658017,0.059997315063750924
1650271403155494272,254.29754,71.172362,10.54661293739127,11.076634325636563,9.85843218813768,0.3641,0.0105,106.0132369995117,0.3778516252790429,0.175243478606609,0.1110027282553277,0.0023593969418083,0.2078310180826585,0.0012374541460475,0.1505097120844196,0.0016409378610038,-1.8682944311887524,0.03453812105965337
1654553756131402240,249.412521,73.091081,12.201312827393952,12.706243709108268,11.527653557166882,0.2105,0.0105,27.58612251281738,1.6388177641409376,0.2295072050720759,0.1162035642598167,0.0045160168844727,0.1717748061048865,0.0016524560036359,0.1697574014631001,6.829819272515386E-4,-1.8191902657691659,0.04730786702136114
1656965809764947968,269.26873,76.946168,12.58278152554002,13.068062762114796,11.92515619201892,0.2152,0.0121,28.93464088439941,1.5534250602040265,0.2401117943293556,0.0790414509786229,0.0028743190781922,0.199493692513044,0.0024999781564518,0.1339044001563601,0.0017306077826649,-1.9296021434006685,0.049860834426549115
1657673968268818816,208.639472,56.106724,11.668712366278973,12.061805980887325,11.094095766841242,0.6686,0.0145,55.15667724609375,1.151849463506907,0.2155182992427303,0.0890409514070312,0.0022133846504042,0.1485418034992387,0.0011594040578426,0.112601942765426,0.0010724990015524,-1.9054742613078233,0.028929401222256616
1686970593029421824,201.423405,70.906944,12.711009439479502,13.15783211100514,12.086798025629378,0.2238,0.0123,21.35638999938965,0.4261948504159716,0.2819081601645533,0.0834158940276484,0.002375836996616,0.1712137943455453,0.0030218889543432,0.1408650836893837,0.0010023891839894,-1.9568982798615582,0.044256766803653654
1706135664817574400,251.36604,78.569535,12.99988600033866,13.460218705978308,12.36626774239449,0.1588,0.009,20.69084930419922,1.43551728058217,0.3326375613483465,0.1013623313609209,0.0024635167054505,0.1245808102881571,0.0027966034468282,0.1451915664151525,0.0026609452075387,-2.156735421436143,0.0488657935053672
1710807214846100864,255.943879,81.348748,12.75607514345478,13.197025480884632,12.13615216273624,0.2313,0.0124,21.09982299804688,1.476073467144421,0.3601272890733569,0.094699190820888,0.0045845451464324,0.1859064078086807,0.0026543816893625,0.1296989185986273,0.0022168694386594,-1.8659116305808354,0.06061322058657686
1731801049348364160,318.336707,3.399482,12.634388117953335,13.20520844986132,11.913912309387658,0.0866,0.0151,26.12729454040527,1.644639079896452,0.1870278731071353,0.1156761709107917,0.0015386432681958,0.2223592250250836,0.0018923934839302,0.1437482155364149,0.0014134912674795,-2.0364757268583253,0.0808605938605405
1732570501329437952,318.085478308805,4.822153356960643,12.252109918326983,12.881449770849636,11.512163991057902,0.091,0.0148,42.20708465576172,0.8064747294857653,0.1505107267973426,0.1208379378027815,0.0020134667418438,0.2099266520567773,0.0022173767990001,0.1695866022820972,0.0020611949030518,-2.026572167548018,0.0788047814082172
1733460006236544896,317.779378,5.828615,12.37375864232494,12.987919145765243,11.614592038915484,0.2145,0.0131,35.8819580078125,0.5468263695496006,0.1802556033497604,0.1398784849995467,0.0029338206687632,0.2687860480732543,0.0021708589264459,0.2143303269869594,0.0012031362192117,-1.0820817000329277,0.04529009993778449
1734324153656601600,312.432964,3.948833,13.159708732197425,13.594943788904931,12.546290392677069,0.1452,0.0162,17.70899391174316,0.9040736091334431,0.4720285848447779,0.0820929317110188,0.0052186796354856,0.137600905641978,0.0031531051426617,0.1263365645774012,0.0057240470920931,-2.2723323050244937,0.09744199082041431
