name,feh_1,rv,vrad,dvrad,snr,I_abs,distance,ew1,dew1,ew2,dew2,ew3,dew3,Source,RAdeg,DEdeg
GAIA9_MET_1,-1.9256232352197986,-320.4501,0.1376028856390965,0.4455734986236739,29.31472015380859,-2.443594894839567,4.375540128899927,0.6643080428184385,0.009250065875557656,1.6639646881455672,0.04116064085232285,1.3727912147951762,0.06638205857761126,1670389747228457472,219.79364047283,67.56071036902
GAIA9_MET_2,-1.7249006924407055,-401.9807,0.3281613032592712,0.4019042547980379,40.78644561767578,-1.8961157445442929,4.879580749929692,0.6970365287368335,0.02801278017214509,1.7616194676997352,0.0460905452507292,1.4436250076882062,0.03039059239806885,1387093055845363200,243.89164122763,47.70242674273
GAIA9_MET_3,-0.7703996391062765,-126.676,0.7368099475895509,4.405995416445519,11.43795394897461,2.2051139865858076,3.848000931295329,0.6005348805146522,0.02405607584363184,1.9135282844274863,0.17172841263165206,1.5461291107474426,0.06738901145738618,1697867509174940800,218.88021962192,69.72070101671
GAIA9_MET_4,-2.018475614345825,-97.1481,3.377986172358744,1.4877846149683687,12.61005020141602,2.0546166604997538,4.276106656680173,0.3355199363300794,0.06942418839367542,0.8627875074877693,0.06939885970899101,0.6639754367210968,0.06739307778035886,1626643894707125504,239.2786766176,59.69771244662
GAIA9_MET_5,-1.6677795471102248,-330.2208,5.610330013367825,3.173409024532779,8.413549423217773,2.2538947241767318,3.979093261471671,0.4485364519221614,0.10014670011449547,1.141803826867348,0.06190217680218235,0.7886696485199098,0.09861399325835557,1669650089436438528,221.77037446207,67.16609883206
GAIA9_RV_1,-1.9463980018760312,-300.0118,-29.96252118254831,3.551527571567261,8.227703094482422,2.799464975893656,3.976082549842906,0.09029959717761439,0.2268756046898445,0.9843574121391083,0.4458906519824164,0.459945376216627,0.052928915463894444,1693924316880710912,227.96948343088,68.21035008005
GAIA9_RV_2,-2.0404009207818206,-350.5901,-2.4201804627433847,1.621510571223226,9.535577774047852,2.917755202497638,3.919587724657055,0.32448654700439555,0.05134823641789202,0.8915365560968421,0.0412574136841703,0.43249177510682607,0.019092100097292453,1616121053033017088,227.17147697132,61.02522787973
GAIA9_RV_3,-3.092468615157875,-99.332,-20.226320042470114,13.851363646553086,6.728846549987793,2.5719998374878372,4.887590804880221,1.633530802447325E-6,0.008285783590947369,0.6310616058529939,0.09441470134223018,0.09606880961909674,0.1356395322073655,1597104552754130944,237.99663816499,53.23181193109
GAIA9_RV_4,-1.9036470623312376,-328.3816,-1.9109620336417734,2.3647421696646496,8.526893615722656,3.1696811796019517,3.833142401085898,0.4804703901587799,0.06305497705537513,0.8657081372710487,0.10530296232202763,0.5468917104900417,0.0603476739697269,1694614844542434816,221.96253887016,69.24793115202
GAIA9_RV_5,-2.0410361659008167,-394.9636,-11.135639686389549,2.629653709536683,9.602104187011719,2.6987816739736132,4.878950555127917,0.41194434468181235,0.07710900949452335,0.8534013546094323,0.13247472264784182,0.5124471806128514,0.08519099193419494,1399066977990343296,242.46475219387,47.86681643543
GKSHIR11_1,-1.6286626949677299,-282.9094,0.5898236752235861,0.3359275104534837,44.41192626953125,-3.3588029184236063,9.668538183430774,1.2663682359150528,0.052690132529036426,2.5063685236099706,0.04952008935485974,1.9668007198544772,0.036298021902482214,1645852534642780672,230.38107206477,68.16672407829
GKSHIR11_10,-2.6302739210966806,-241.4811,8.03903962300697,1.3408507362488762,18.88855934143066,0.44601111760607637,10.24620683620966,0.488175449270756,0.0684156279353314,0.9272273580986486,0.024645901350201393,0.5918095559651849,0.05307315054279249,1349952893090121984,269.82481939197,46.44366402504
GKSHIR11_11,-2.170010315788183,-270.848,0.4502867905886436,3.6376278218083185,13.1197338104248,0.5479399686969373,10.082524962671773,0.44213705210257304,0.04537168236731784,1.5717513841657433,0.20209944892381826,0.8073118131105801,0.1455175412764137,1646447336073919872,234.98757836557,68.10989612
GKSHIR11_12,-0.6286334423832173,-105.6057,1.395337645394191,1.0815149200567327,11.60433673858643,0.5403274743350508,10.253383945074445,0.9904448124972828,0.0539813572947192,2.605431514797571,0.11391264768816423,2.4325399212278667,0.17593822158150574,1673351732770597760,214.11734523732,68.19082803785
GKSHIR11_13,-1.912568051426001,-266.4131,7.686983675291518,1.8034929031943427,10.89275169372559,1.06017732120824,8.262877582167427,0.6636869380311069,0.0801138860018265,1.535498601668111,0.13349480713057071,0.947106301027446,0.12585093414948517,1672820565575158528,205.87917511001,67.57526033744
GKSHIR11_14,-0.8914836723885557,-16.3771,5.5261887198356785,1.5755984833476975,13.99906921386719,0.578509292874557,10.525923208075971,1.006498178002181,0.10877597322773391,2.427012045215627,0.17510433110438228,2.0157718978614643,0.13913190354590688,2113762111709798528,270.72237147389,42.33724837072
GKSHIR11_15,-1.4948338267209933,-75.9461,-6.99038752823539,2.1376182370613557,9.044864654541016,-0.11681183080052193,16.925329197005848,0.6808826486089317,0.063529279040556,2.7520037709691323,0.1954742408069361,1.0373551758737511,0.13750253829186782,1636337081843213184,249.84738722264,66.97624789107
GKSHIR11_2,-2.4476556318422436,-173.2,-0.009472409286532368,1.1061075221421288,17.41197204589844,-1.010194233400302,11.22990060925241,0.5886380760727192,0.043444399802329114,1.2444954401739317,0.07902492525591709,0.9783663680681126,0.06704320200682545,1437278271230506112,258.64442996704,59.89817560285
GKSHIR11_3,-1.3101821857827987,-35.4006,1.2422601507620419,0.8159242435128926,12.89492893218994,-0.827047765702801,10.565361987311675,0.8740397881879877,0.06116680071220215,2.3866215237548127,0.12476139407837983,1.935575723681223,0.08603099080804699,4591810735148110336,275.0282376539,31.58713559305
GKSHIR11_4,-2.020934293972486,7.09320000000001,-1.5971088079261904,0.8445977260719302,12.73709297180176,-1.1855757337541348,12.763682543595545,0.8783382964983536,0.11923936806814645,1.7154648702169686,0.11613085649908461,1.1904090504067606,0.06396873621046006,4591916631861285376,275.33883189854,31.97573631647
GKSHIR11_5,-1.7592708882224075,-297.02509999999995,0.12742832639386137,0.3142641957919474,21.96681213378906,-0.7672604447762588,10.719414751890818,1.0857924368900744,0.10836178931120322,1.6852256914425778,0.03267457034978993,1.4074429344236954,0.07187572368925133,1632322047632141056,256.17033256431,64.89170899095
GKSHIR11_6,-1.033647603088742,-81.4023,0.5863779688428838,0.9934093375742539,21.02495002746582,-0.5643750773057441,10.102758623674037,1.1060202878547964,0.044490476414689284,2.4473537048409275,0.10417947578404374,2.1309466170448426,0.0849012613860125,1418072998548676736,266.43935166022,54.50082471082
GKSHIR11_7,-1.0088709719045097,-47.5102,4.32227621960209,1.4685060414079543,19.68798446655273,-0.0034892467064473465,10.09158752517922,1.1150670379872947,0.04063478591176395,2.695788066414808,0.12345976525051938,1.6579967932240702,0.059135456758632965,1672581417500562816,208.06558364702,67.25541894098
GKSHIR11_8,-0.6360813867728936,-33.339299999999994,-2.648239924389987,0.4439380275950151,14.99370765686035,0.3758705506403288,10.388564924230195,1.0360813310683152,0.0624018201438552,3.288805668721494,0.3240699491162009,1.767697954234507,0.11816208492181612,2114426525970402176,270.24863932917,44.65982607841
GKSHIR11_9,-0.441121483761878,-113.6552,6.222794631937509,1.7267647716164602,19.09372329711914,0.9498907336170319,8.072667655962462,1.039762437560074,0.0491672892599867,3.0181464745636957,0.18847573381585847,2.1707417245797056,0.2075745489453742,4588172348094003200,276.84735437417,29.71455667926
C10_1,-1.1340421397216702,64.2698,-2.057797681093671,4.333038318509598,6.0,-0.1549518812999331,8.755472163954773,0.9412745061054064,0.1821767648438946,2.771895451295301,0.3179584288213608,2.0814256306095364,0.256664904823028,3824553722937057280,145.03428509037,-4.46940493608
C10_2,-1.9470359183712485,75.7138,-8.572155778256208,2.48688441421596,9.0,-0.1367506751153335,8.782872704053982,0.7523086151353344,0.1413450402418278,1.63000157349818,0.1336122520509087,1.4900425589324149,0.1239538238456683,3853004376579171456,146.89633168898,5.89187762331
C10_3,-1.2077300266996005,81.0677,-3.640040713990104,11.526401498845468,6.0,0.3061652050253372,9.506257471037312,0.4881877319738233,0.1189681306581123,2.7290454730096205,0.4110303342140142,2.1717406734773568,0.4122121474330957,3827630671867140864,146.21892383572,-1.38524857685
C11_1,-2.5634662492455806,2.9328000000000003,-8.193668351111782,2.3171540732719627,8.0,-0.9024595107689208,11.28933448986568,0.3994183792996902,0.162485919166257,1.516988994388127,0.1524685738857373,0.8798521367686929,0.124135196895145,1034177792156449152,129.61938602408,56.45160035331
C11_4,-3.4102804520110435,157.7931,9.05633731001368,3.018313291786403,7.0,1.8003848016159516,6.9749254521169615,0.0088986669261406,0.0740740891328199,0.5964263619003578,0.078994246792528,0.3412566303869313,0.0561660561114788,1033473829836902144,123.75219237611,56.48216737187
GAIA12_1,-2.9778182566401177,-260.9251,5.951413269668299,3.1758558833193598,7.0,0.0532467164766181,8.60911045629575,0.1316824919864514,0.0828486004572498,0.864536310565523,0.1449955233697711,0.7174902416933476,0.1353600774999401,29098953186515200,44.22854084251,13.33874013831
GAIA12_2,-2.2210399399058907,31.2743,-1.1791934432830349,2.085995132207925,14.0,0.3406850703737802,11.245549202091794,0.4597270220476376,0.081426061498559,1.6929254426120517,0.1316959446470139,0.9190358788228632,0.0991211046614534,27673371936964224,45.91185788194,11.3482836256
GAIA12_3,-2.39878746357148,75.6323,-1.0116387384138037,1.5013897603259925,16.0,0.2434675502911503,12.032479595859115,0.5639872514133999,0.0667748943311488,1.3848717536829285,0.0857508404589972,0.7831279282955939,0.0716078188304132,86433914729629696,37.14095429333,19.15631990442
GAIA12_4,-3.180481956108998,-283.3193,3.994079578982134,2.0440326855088946,15.0,0.0425385258426231,13.875113772584212,0.1960497760724822,0.0606543910282423,0.7106224145375166,0.0667125647168943,0.5173613631954912,0.058414530613475,81654921799327872,40.85394511723,16.11085526205
GAIA12_5,-2.1735444026479582,-88.4578,1.360448347446372,4.816402646715882,5.0,0.3105723721399265,14.071713463785136,0.5641509403309888,0.1903751943276037,1.503381282801501,0.2922080733284995,1.1179490182197622,0.2175255000633879,100798553110382720,33.8103265485,22.53888277262
